StepCount,Reward
10000,-1.90003
20000,-5.89932
30000,-9.90110
40000,-13.90514
50000,-12.90664
60000,-11.91068
70000,-9.91473
80000,-12.91877
90000,-12.92281
100000,-14.92686
110000,-16.92887
120000,-16.92387
130000,-10.92205
140000,-13.92609
150000,-4.92641
160000,-5.92661
170000,-10.92887
180000,-3.93132
190000,-2.93067
200000,-2.93023
210000,-5.92958
220000,-10.93133
230000,-12.93538
240000,-13.93942
250000,-16.93905
260000,-15.94026
270000,-18.93543
280000,-20.92994
290000,-22.92444
300000,-20.91895
310000,-26.91346
320000,-21.90796
330000,-21.90247
340000,-18.89698
350000,-18.89163
360000,-20.88614
370000,-22.88065
380000,-24.87515
390000,-27.86966
400000,-30.86417
410000,-32.85868
420000,-37.85318
430000,-40.84769
440000,-43.84220
450000,-43.83670
460000,-41.83121
470000,-42.82572
480000,-47.82022
490000,-44.81473
500000,-42.80924
510000,-42.80375
520000,-41.79825
530000,-42.79276
540000,-39.78727
550000,-42.78177
560000,-44.77628
570000,-45.77079
580000,-40.76529
590000,-44.75980
600000,-46.75431
610000,-50.74881
620000,-51.74332
630000,-43.73783
640000,-44.73233
650000,-46.72684
660000,-47.72135
670000,-47.71585
680000,-47.71036
690000,-46.70487
700000,-50.69938
710000,-43.69388
720000,-43.68839
730000,-40.68290
740000,-38.67740
750000,-40.67191
760000,-43.66642
770000,-44.66092
780000,-45.65543
790000,-45.64994
800000,-45.64444
810000,-47.63895
820000,-52.63346
830000,-46.62796
840000,-46.62247
850000,-46.61698
860000,-46.61148
870000,-48.60599
880000,-49.60050
890000,-49.59501
900000,-50.58951
910000,-50.58402
920000,-53.57853
930000,-53.57303
940000,-57.56754
950000,-61.56205
960000,-55.55655
970000,-55.55106
980000,-56.54557
990000,-51.54007
1000000,-48.53458
1010000,-49.52909
1020000,-51.52359
1030000,-50.51810
1040000,-46.51261
1050000,-44.50711
1060000,-41.50162
1070000,-44.49613
1080000,-45.49063
1090000,-39.48514
1100000,-41.47965
1110000,-42.47416
1120000,-46.46866
1130000,-50.46317
1140000,-46.45768
1150000,-47.45218
1160000,-38.44669
1170000,-40.44120
1180000,-43.43570
1190000,-45.43021
1200000,-50.42472
1210000,-46.41922
1220000,-44.41373
1230000,-43.40824
1240000,-47.40274
1250000,-52.39725
1260000,-53.39176
1270000,-58.38626
1280000,-57.38077
1290000,-56.37528
1300000,-53.36979
1310000,-54.36429
1320000,-56.35880
1330000,-60.35331
1340000,-63.34782
1350000,-60.34232
1360000,-61.33683
1370000,-65.33134
1380000,-65.32584
1390000,-65.32035
1400000,-69.31486
1410000,-72.30936
1420000,-73.30387
1430000,-75.29838
1440000,-77.29288
1450000,-81.28739
1460000,-84.28190
1470000,-83.27641
1480000,-81.27091
1490000,-80.26542
1500000,-79.25993
1510000,-80.25443
1520000,-84.24894
1530000,-80.24345
1540000,-81.23795
1550000,-83.23246
1560000,-80.22697
1570000,-79.22147
1580000,-82.21598
1590000,-81.21049
1600000,-79.20499
1610000,-71.19950
1620000,-72.19401
1630000,-72.18851
1640000,-74.18302
1650000,-74.17753
1660000,-78.17204
1670000,-72.16654
1680000,-75.16105
1690000,-80.15556
1700000,-82.15006
1710000,-86.14457
1720000,-87.13908
1730000,-90.13358
1740000,-91.12809
1750000,-91.12260
1760000,-87.11710
1770000,-91.11161
1780000,-96.10612
1790000,-101.10060
1800000,-103.09510
1810000,-108.08960
1820000,-112.08410
1830000,-108.07870
1840000,-107.07320
1850000,-108.06770
1860000,-107.06220
1870000,-110.05670
1880000,-112.05120
1890000,-114.04570
1900000,-112.04020
1910000,-113.03470
1920000,-114.02920
1930000,-115.02370
1940000,-118.01820
1950000,-117.01270
1960000,-119.00720
1970000,-119.00170
1980000,-117.99630
1990000,-116.99080
2000000,-118.98530
2010000,-113.97980
2020000,-112.97430
2030000,-113.96880
2040000,-118.96330
2050000,-122.95780
2060000,-126.95230
2070000,-126.95830
2080000,-124.95280
2090000,-127.95090
2100000,-129.01480
2110000,-130.07900
2120000,-134.14980
2130000,-133.22060
2140000,-133.29140
2150000,-134.36220
2160000,-136.43300
2170000,-132.50380
2180000,-134.57460
2190000,-138.64540
2200000,-142.71620
2210000,-144.78700
2220000,-141.85780
2230000,-142.92860
2240000,-146.99940
2250000,-143.07020
2260000,-142.14100
2270000,-135.21180
2280000,-128.26630
2290000,-127.29400
2300000,-126.28910
2310000,-124.28360
2320000,-127.27870
2330000,-126.29980
2340000,-128.29660
2350000,-128.35820
2360000,-130.41280
2370000,-129.48360
2380000,-131.55440
2390000,-131.62520
2400000,-134.69600
2410000,-135.76680
2420000,-133.83760
2430000,-134.90840
2440000,-128.97920
2450000,-131.05000
2460000,-133.12080
2470000,-126.17270
2480000,-126.16850
2490000,-127.16300
2500000,-130.20980
2510000,-132.28060
2520000,-133.35140
2530000,-128.40640
2540000,-126.45640
2550000,-125.45090
2560000,-125.45640
2570000,-130.48990
2580000,-133.55880
2590000,-136.62960
2600000,-138.70040
2610000,-138.77120
2620000,-138.84200
2630000,-143.91280
2640000,-145.98360
2650000,-148.05440
2660000,-146.12520
2670000,-147.19600
2680000,-150.26680
2690000,-147.33760
2700000,-152.40840
2710000,-155.47920
2720000,-156.55000
2730000,-151.62080
2740000,-143.69160
2750000,-143.76240
2760000,-148.83320
2770000,-148.90400
2780000,-153.97480
2790000,-155.04560
2800000,-153.11640
2810000,-151.18720
2820000,-156.25800
2830000,-154.32880
2840000,-157.39960
2850000,-161.47040
2860000,-161.54120
2870000,-160.61200
2880000,-158.68280
2890000,-160.75360
2900000,-154.82440
2910000,-155.89520
2920000,-155.96600
2930000,-154.03680
2940000,-156.10760
2950000,-159.17840
2960000,-162.24920
2970000,-162.32000
